| Error | file C:\projetC\popTube\src\main.c | line 61 | date Dec  1 2018 | time 01:39:25 |: No such file or directory
Unknown MySQL server host 'l' (2): No error
Unknown MySQL server host 'localhost
' (2): No error
Unknown MySQL server host 'l' (2): No error
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
| Error | file C:\projetC\popTube\src\fileManager.c | line 116 | date Dec  1 2018 | time 02:46:29 |: Not enough space
